article_id,badge,first_name,last_name,title,source,date_published,url
1,748,Omar,Habib,NYPD officer indicted for placing Bronx man in illegal chokehold during 2023 arrest,New York Daily News,8/8/2024,https://www.nydailynews.com/2024/08/08/nypd-officer-indicted-for-placing-bronx-man-in-illegal-chokehold-during-2023-arrest/
2,748,Omar,Habib,Shielded From Accountability: How NYPD Officers Get Away with Lying to the CCRB,LatinoJustice PRLDEF,4/11/2022,https://www.latinojustice.org/sites/default/files/ccrb_report/CCRB%20Report_v4_4-9.pdf
3,748,Omar,Habib,A Union Scandal Landed Hundreds of NYPD Officers on a Secret Watchlist. That Hasn’t Stopped Some From Jeopardizing Cases,ProPublica,10/22/2021,https://www.propublica.org/article/a-union-scandal-landed-hundreds-of-nypd-officers-on-a-secret-watchlist-that-hasnt-stopped-some-from-jeopardizing-cases
4,748,Omar,Habib,Still Can't Breathe: How NYPD Officers Continue to Use Chokeholds on Civilians,The City,1/21/2021,https://www.thecity.nyc/2021/1/21/22241444/nypd-officers-chokeholds-still-cant-breathe
5,4998,Wayne,Isaacs,"City pays $125,000 to girlfriend of Delrawn Small, man killed by NYPD officer Wayne Isaacs",New York Daily News,2/12/2021,https://www.nydailynews.com/new-york/ny-wayne-isaacs-delrawn-small-lawsuit-settled-girlfriend-nypd-20210212-rpepujbwl5huhlhvwt2cwkj7ia-story.html
6,4998,Wayne,Isaacs,NYPD Officer Who Killed Delrawn Small In 2016 Driving Dispute Will Face Disciplinary Charges,Gothamist,1/20/2021,https://gothamist.com/news/nypd-officer-who-killed-delrawn-small-2016-driving-dispute-will-face-disciplinary-charges
7,4998,Wayne,Isaacs,Off-duty NYPD cop shoots man dead after alleged road rage attack in Brooklyn; state attorney general will probe use of deadly force,New York Daily News,7/5/2016,http://www.nydailynews.com/new-york/brooklyn/off-duty-shoots-man-dead-road-rage-incident-brooklyn-article-1.2698074
8,4081,Joel,Ayala,NYPD officer fractured Bronx man's jaw over double-parked car: complaint,New York Post,2/1/2025,https://nypost.com/2025/02/01/us-news/nypd-officer-fractured-bronx-mans-jaw-over-double-parked-car-complaint/
9,4081,Joel,Ayala,"Cleared by Bronx DA's probe, cops in 52nd Precinct are criticized for tactics in weapons cases",New York Daily News,4/2/2019,https://www.nydailynews.com/2019/04/02/cleared-by-bronx-das-probe-cops-in-52nd-precinct-are-criticized-for-tactics-in-weapons-cases/
10,706,Gregory,Howard,NYPD detective punished for breaking confidential informant rules,New York Daily News,2/11/2021,https://www.nydailynews.com/new-york/nyc-crime/ny-detective-disciplined-coerced-informant-staten-island-20210212-cohjlgdzejerdixj6bkipgisny-story.html
11,4816,Rayna,Rampaul,NYPD Sergeant earning $200K busted for shoplifting cough medicine on Long Island,New York Daily News,12/9/2024,https://www.nydailynews.com/2024/12/09/nypd-sergeant-earning-200k-busted-for-shoplifting-cough-medicine-on-long-island/
12,4816,Rayna,Rampaul,Video Shows NYPD Officer Awkwardly Tossing Weed Into Brooklyn Man’s Car,Gothamist,10/18/2019,https://gothamist.com/news/video-shows-nypd-officer-awkwardly-tossing-weed-into-brooklyn-mans-car
13,6877,Ryan,Scannell,Shielded From Accountability: How NYPD Officers Get Away with Lying to the CCRB,LatinoJustice PRLDEF,4/11/2022,https://www.latinojustice.org/sites/default/files/ccrb_report/CCRB%20Report_v4_4-9.pdf
